fbref_id,ime,tekmovanja,tekme,min,goli,asistence,G+A
30fb2f9c,Bart van Rooij,['eredivisie'],33,2923,3,5,8
f3872d26,Kaj de Rooij,['eredivisie'],32,2027,6,5,11
408ba138,Nils Rossen,['eredivisie'],28,2327,3,1,4
d40b01f6,Daan Rots,['eredivisie'],33,2359,9,4,13
de4b685b,Mats Rots,['eredivisie'],34,2949,4,4,8
e924d12c,Dylan Ruward,['eredivisie'],1,12,0,0,0
9200d432,Ibrahim Sadiq,"['eredivisie', 'conference_league']",29,1058,3,0,3
3ec9f005,Ismael Saibari,"['eredivisie', 'champions_league']",34,2739,18,8,26
ded89b56,Yassir Salah Rahmouni,"['eredivisie', 'europa_league']",24,989,0,0,0
0d274394,Anass Salah-Eddine,"['eredivisie', 'champions_league']",24,1601,0,0,0
bc7cc472,Amine Salama,"['eredivisie', 'coupe_de_france']",10,442,0,1,1
4b1d5a70,Shurandy Sambo,['eredivisie'],25,1622,0,1,1
5d873dfb,Alfons Sampsted,"['eredivisie', 'championship', 'fa_cup', 'efl_cup']",20,1128,0,2,2
60740e70,Philippe Sandler,['eredivisie'],25,1861,1,3,4
f2b91fdf,Kodai Sano,['eredivisie'],34,3060,3,7,10
e7d88225,Ayoni Santos,['eredivisie'],26,1563,1,1,2
06cc6ad5,Antonio Satriano,['eredivisie'],1,6,0,0,0
4c53a688,Leo Sauer,"['eredivisie', 'europa_league']",26,1666,4,2,6
12b644c8,Yousri Sbai,['eredivisie'],2,8,0,0,0
0c43c76c,Jasper Schendelaar,['eredivisie'],2,180,0,0,0
e50f5e6b,Tristan Schenkhuizen,['eredivisie'],4,104,0,0,0
60faf301,Sem Scheperman,['eredivisie'],16,1122,1,1,2
16304ada,Niek Schiks,['eredivisie'],2,180,0,0,0
2cfae697,Jerdy Schouten,"['eredivisie', 'champions_league']",36,3048,1,2,3
2efecbd8,Lewis Schouten,['eredivisie'],24,1357,1,0,1
fb812174,Jorg Schreuders,['eredivisie'],34,2822,1,2,3
d78d82de,Jelani Seedorf,['eredivisie'],13,182,1,0,1
fde5fc24,Václav Sejk,['eredivisie'],17,472,3,1,4
db159803,Mats Seuntjens,['eredivisie'],16,187,1,0,1
00f0482f,Shola Shoretire,['eredivisie'],24,1646,5,1,6
9c2b1f11,Kaj Sierhuis,['eredivisie'],30,1986,12,1,13
d50829e9,Oskar Siira Sivertsen,"['eredivisie', 'europa_league']",18,542,0,1,1
313254a3,Kiliann Sildillia,"['eredivisie', 'champions_league']",22,1360,2,3,5
ef1cfbe4,Matej Sin,"['eredivisie', 'conference_league']",25,753,2,1,3
0b24acbc,Aymen Sliti,"['eredivisie', 'europa_league']",22,628,1,2,3
c7505634,Jaden Slory,['eredivisie'],19,837,0,1,1
0eb4a4f3,Gijs Smal,"['eredivisie', 'europa_league']",23,1340,0,3,3
c4ec710e,Levi Smans,['eredivisie'],1,52,0,1,1
53888a90,Kees Smit,"['eredivisie', 'conference_league']",36,2883,3,7,10
a61ff812,Milan Smit,"['eredivisie', 'championship', 'europa_league', 'fa_cup']",39,2456,11,3,14
86a49468,Moussa Soumano,['eredivisie'],16,794,5,0,5
74b7375f,Kamal Sowah,['eredivisie'],33,2779,1,1,2
90339309,Jerry St. Juste,['eredivisie'],6,152,0,0,0
f4693feb,Casper Staring,['eredivisie'],2,36,0,0,0
ef58c4bc,Sem Steijn,"['eredivisie', 'europa_league']",26,1528,7,4,11
44a78efb,Artem Stepanov,"['eredivisie', 'dfb_pokal']",14,882,5,1,6
b400bde0,Raheem Sterling,['eredivisie'],8,419,0,1,1
bee3d605,Roy Steur,['eredivisie'],3,210,0,0,0
7f1d94bf,Sean Steur,"['eredivisie', 'champions_league']",22,1292,1,2,3
722a26e2,Finn Stokkers,"['eredivisie', 'europa_league']",25,379,2,0,2
906b2fb4,Mathis Suray,"['eredivisie', 'europa_league']",40,3269,13,2,15
33a6a650,Josip Šutalo,"['eredivisie', 'champions_league']",30,2203,0,0,0
d2e11276,Juho Talvitie,['eredivisie'],27,1395,3,2,5
abd56820,Oussama Targhalline,"['eredivisie', 'europa_league']",32,2367,2,4,6
11fde8d3,Mike te Wierik,['eredivisie'],22,1381,1,0,1
7efcfb30,Kay Tejan,['eredivisie'],28,807,3,1,4
ff2fb007,Casper Tengstedt,"['eredivisie', 'europa_league']",21,622,5,0,5
3476496c,Søren Tengstedt,['eredivisie'],13,686,4,0,4
bd2f622a,Casper Terho,"['eredivisie', 'belgian_pro_league']",21,790,1,1,2
95efdac2,Ryan Thomas,['eredivisie'],27,2148,1,1,2
107ef07e,Jesper Tielemans,['eredivisie'],1,7,0,0,0
72befc76,Mathijs Tielemans,['eredivisie'],2,131,0,0,0
